క్రియ,అర్థం,Primary sense-type,Secondary sense-type
చెంపగిల్లు,ప్రక్కకు తిరుగు,,
చెక్కలువాఱు,ముక్కలగు,,
చెక్కులొత్తు,"కుంగు, ఉదయించు",,
చెట్టుక(గ)ట్టు,"మొదలుకట్టి చెట్టుగా నేర్పడు, పెరుగు, వర్ధిల్లు",,
చెట్టుప(వ)డు,"స్తంభించు, మ్రాంపడు",,
చెడు,"నశించు, పోవు, కొల్లపోవు, చచ్చు, మృతుడగు, తగ్గు, దురవస్థనొందు, దూరమగు, మలినమగు, వ్యర్ధమగు, చిముడు, చడివదియగు",,
చెదరబడు,ఇటునటుబడు,,
చెదరబాఱు-చెదరు,స్వార్ధమున,,
చెదరు-చెదురు,"ఇటువటుబోవు, ఇటు నటు-బడు, చెడిబోవు, తప్పిపోవు, పాఱిపోవు",,
చెనయు2 - ఎనయు,ఒప్పు,,
చెన్నటి పోవు,వ్యర్ధమగు,,
చెమటపట్టు,(చెమట పోవు) చెమటపోయు,,
చెమటపోయు,చెమట కలదియగు,,
చెమరు-చెమ్మరు,కరగు,,
చెమ్మగిల్లు,"తడిగలదియగు, ఆర్ధ్రమగు, చెమలుపోయు, స్విన్నమగు",,
చెమ్మయుఱుకు,చెమ్మగిల్లు,,
చెరలా(ర్లా)డు-చరలాడు చెల్లాడు,"అధికముగా క్రేడించు, సంచరించు తిరుగు",,
చెరలు,ఉత్సహించు,,
చెఱగుమాయు,"వస్త్రము మాసిన దగు-ముట్టగు, ఋతుమతి యగు",,
చెఱచెఱలాడు,కోపము చేమడు,,
చెఱపో(వో)వు,నిర్భంధము చేత పట్టువడు,,
చెఱవడు,"చెఱపోవు, బందియగు",,
చెలగు(ల్గు),"ఉత్సహించు, విజృంభించు, మ్రోయు, వికసించు, వ్యాపించు, ప్రతిధ్వనించు, శబ్ధించు, బొబ్బరించు, ఆర్చు, ప్రతిధ్వనించు, సింహనదము చేయు",,
చెలరేగు,మిక్కిలిరేగు,,
చెలువా(ల్వా)రు,ఒప్పు,,
చెల్లాడు-చెరలాడు,ఆటలాడు,,
చెల్లు,"తగు, అర్హమగు, యుక్తమగు, సరిపోవు, సమానమగు, సమర్ధమగు, కొనసాగు, నెఱవేఱు, సిద్ధించు, సాగు, నెగ్గు, మృతినొందు, చచ్చు, నశించు",,
చెవిదోరబెట్టు,"చెవి యొగ్గి విను, విను",,
"చెవుడుప(డ్ప)డు, చెవుడువడు","బధిరమగు, చెవుడు గలదగు",,
చేకురు-చేకుఱు,లభించు,,
చేకూడు - చేకూరు,"లభించు, ప్రాప్తించు",,
చేచా(సా)చూ,"అపేక్షపడు, ఆశపడు, సిద్ధమగు",,
చేచేపు,మిక్కిలి చేపు,,
చేడ్ప(డ్వ)డు-చెడు,చచ్చు,,
చేతరించు,చైతన్యము కలదియగు,,
చేతవు(గు)లు,"లభించు, దొరకు",,
చేదోడుపడు,"సహాయమగు, తోడ్పడు",,
చేపడు,"లభించు, పట్టువడు, దొరకు, అగు, కలుగు",,
చేపు,"పాలు స్రవించుట కున్ముఖమగు, స్రావోన్ముఖమగు",,
చేమొగుచు,"చేతులు మొగడజేయు, చేతులు జోడించు నమస్కరించు",,
చేమోడుచు(డ్చు),నమస్కరించు,,
చేరబడు,"ఏకీభవించు, కలియు",,
చేరికయగు,"దరిజేరు, సమీపించు",,
చేరు,"సమీపించు, లభించు, ప్రాప్తించు, దొరకు, కలుగు, సిద్ధించు, నెఱవేఱు, ప్రవేశించు, పడు, ఒఱగు, అందు, పోవు",,
చేవిచ్చు,నమస్కరించు,,
చొక్కిపడు,ఆశ్చర్యపడు,,
చొక్కిలు(ల్లు),వ్యామోహపడు,,
చొక్కిళ్లువోవు,"చొట్టలుపడు, నొక్కులుపడు",,
చొక్కు,"పరవశమగు, వివశతనొందు, మోహమునొందు, వలపుగొను, లొంగు, అధీనమగు, చచ్చు, మరణించు",,
చొక్కుమడగు,"చొక్కుచేమడగు, అడగు",,
