adjective,meaning,Primary sense-type,Secondary sense-type
శరదిజము,"శరదృతువున బుట్టినది,శరదృతువు నుందుండునది",,
శారారువు,"ఘాతుకము,హింసించునది",,
శరీరబద్ధుడు,"శరీరము దాల్చినవాడు,రూపొందినవాడు",,
శరీరభాక్కు,"దేహము దాల్చినవాడు,రూపొందినవాడు",,
శరీరి,"శరీరముగలవాడు,శరీరధారి,జీవించుచున్నవాడు",,
శర్కరిలము,గులకఱాలు గలది,,
శర్థంజహము,అపార వాయువు గలిగించునది,,
శరణ్యము,"రక్షణము నొసంగునది,ఆశ్రయ మొసంగునది",,
శర్మదము,శుఖమునిచ్చునది,,
శర్మము,"సుఖవంతము,సుఖముగలది",,
శల్యితము,ఈటెతో బొడువబడినది,,
శవాశము,శవములను దినునది,,
శశిప్రభము,చంద్రుని కాంతి వంటి కాంతిగలది,,
శస్తము,"స్తోత్రము చేయబడినది,పొగడబడినది",,
శస్త్రపాణి,"ఆయుధములుచేతగలవాడు,ఆయుధము ధరించువాడు,ఒక విధమగు ఆతతాయి,ధనాపహారి",,
శస్త్రహతుడు,"ఆయుధముతో జంపబడినవాడు,పక్షిమృగాలచే జంపబడినవాడు",,
శస్త్రహస్తుడు,ఆయుధము చేతనున్న వాడు,,
శస్యము,"శ్రేష్ఠమైనది,ఉత్తమమయినది,శ్లాష్యుమైనది,కొనియాడదగినది",,
శాంకరము,"శంకరుని సంబంధమైనది,శివసంబంధి",,
శాంకరి,"గణపతి,కుమారస్వామి,అగ్ని",,
శాంఖము,"శంఖ సంబంధమైనది,శంఖ వికారమైనది,శంఖముతో జేసినది",,
శాంతము,"ఉపశమించినది,తగ్గినది,ఆకలి మొ"" తీఱినది, కుదిరినది,అణగినది, అంత మొందినది ఆగిపోయినది,దీపము మొ"", ఆటంక పఱుపబడినది,ఆపబడినది, మరణించినది,మృతి నొందినది, అణపబడినది,నిశ్చలముగా జేయబడినది, నెమ్మది గలది",,
శాంతికము,"పాపము పోగొట్టునది, గోచారాదులచే సూచితమైన యాపదను బోగొట్టుకొనుటకు జేయబడెడి కర్మము",,
శాంభవము,శంభుని సంబంధమైనది,,
శాకటము,"శకటసంబంధి, బండి సంబంధమైనది, బండిలో బోవునది",,
శాకటికుడు,"శకట సంబంధి, బండికి సంబంధించినవాడు, బండిలో బోవువాడు",,
శాకలము,శకలమునకు సంబంధించినది,,
శాకలికము,శకల సంబంధమైనది,,
శాకాహారుడు,కూరలు మాత్రము తినువాడు,,
శాకుణుడు,"ఇతరులను బాధపెట్టెడివాడు,పరతాపకుడు",,
శాకునము,"పక్షుల సంబంధమైనది,శకున సంబంధమైనది, రాబోవు శుభాశుభములను సూచించునది",,
శాక్తము,శక్తి సంబంధమైనది,,
శాభి,శాఖలు గలది,,
శాణము,"జనపనార సంబంధమైనది, జనపనారతో నేసినది",,
శాణితము,"పదును పెట్టబడినది, నూరబడినది",,
శాతమన్యవము,ఇంద్ర సంబంధమైనది,,
శాతమానము,"నూటిచే గొనబడినది, శతక్రీతము",,
శాతము,"పదను పెట్టబడినది, వాడియైనది",,
శాత్రవము/శాత్రవీయము,"శత్రువునకు సంబంధించినది, శత్రువు సంబంధించినది శత్రుత్వము గలది",,
శాద్వలము,"పచ్చిక గలది, లేతగడ్డితో నిండినది, ఆకుపచ్చనిది",,
శాపితము,"శపింపబడినది,తిట్టబడినది, ఒట్టు పెట్టబడినది, శపథము చేయబడినది",,
శాబ(వ)రము,"అడవి జాతులవారి సంబంధమైనది,శబర సంబంధమైనది,మాటైనది, నీచమైనది,అల్పమైనది",,
శాబ్దము,"శబ్ద సంబంధమైనది,శబ్దము నుండి పుట్టినది, ధ్వని సంబంధమైనది, ధ్వని ననుసరించి యుండునది,నోటితో జెప్పినది,ధ్వని గలది",,
శాబ్దికము,"శబ్దసంబంధమైనది, వాగ్రూపమైనది, ధ్వని సంబంధమైనది, ధ్వని చేయునది",,
శారదము,శరత్కాలమందైనది,,
శారదీయము,"శరత్కాల మందుండునది, శరత్కాలభవము",,
శారము,"పొడలు గలది,చిత్రవర్ణము గలది,ఆకు పచ్చని రంగు గలది",,
శారీరకము,శరీరము ధరించినది,,
శారీరకీయము,శరీరసంబంధి,,
శారీరము,"శరీరము ధరించినది,మూర్తీభవించినది",,
శారుకము,"క్రూరము,కీడు గలిగించునది",,
శార్కర(రి)తము,గులక రాళ్లు గలది,,
శార్కరము,"పంచదారతో జేసినది, గులకఱాలుగలది",,
శార్జ్గము,"కొమ్ముతో జేయబడినది, విల్లు ధరించినది",,
శార్వరము,"రాత్రి సంబంధమైనది, మోసము చేయునది, ఘాతుకము, చంపునది",,
శాలి,"సంపన్నమైనది, ప్రకాశించునది",,
శాలీనుడు,"సిగ్గుగలవాడు,సిగ్గరి,దిట్టతవము లేనివాడు, పోలినవాడు,సమానుడు",,
శావము,"శవసంబధమైనది, జాతి యొక్క మరణము వలన గలిగినది,కపిలవర్ణము గలది",,
శాశ్వతము/శాశ్వతికము,"ఎప్పటికి నుండునది, నశ్వరము కానిది",,
శాసనీయము,పరిపాలింపదగినది,,
శాసితము,"పరిపాలింపబడినది, శిక్షింపబడినది",,
శాస్త్రజ్ఞుడు,"శాస్త్రములు తెలిసినవాడు, కేవల శాస్త్రజ్ఞానము గలవాడు",,
శాస్త్రవిరుద్ధము,"శాస్త్రములకు వ్యతిరేకమైనది, అశాస్త్రీయమైనది",,
శాస్త్రవేది,శాస్త్రము నెఱింగిన(ది)వాడు,,
శాస్త్రసిద్ధము,"శాస్త్రముచే స్థాపింపబడినది, శాస్త్రముచే స్థిరపఱుపబడినది",,
శాస్త్రి,శాస్త్రములను బాగుగా జదివినవాడు,,
శాస్త్రీయము/శాస్త్రోక్తము,"వేద విహితమైనది, శాస్త్రమందు జెప్పబడినది",,
శాస్యము,"బోధింపదగినది,ఉపదేశింపదగినది, పాలింపదగినది, శిక్షింపదగినది",,
శింఘితము,"మూర్కొనబడినది, ఆఘ్రాణింపబడ్డది",,
శింజానము,మ్రోగుచున్నది,,
శింజాయితము,ధ్వనించుచున్నది,,
శింజితము,"ధ్వని చేయునది,మ్రోగునది",,
శిక్కువు,"సోమరి,అలసుడు",,
శిక్యితము,కావడి యుట్టిలో నుంచబడినది,,
శిక్షితము,"నియమింపబడినది,నేర్పబడినది,అదుపులో నుంచబడినది",,
శిక్షితుడు,"చదువుకొనినవాడు,అభ్యసించినవాడు, బోధింపబడినవాడు,నేర్పబడినవాడు,మంచి పద్ధతులలో బెట్టబడినవాడు, నేర్పరి,ప్రవీణుడు, అణకువగలవాడు",,
శిఖరి,శిఖరము గలది,,
శిఖాధరము,"శిఖను ధరించునది, సిగ గలది",,
శిఖావంతము,"జుట్టుగలది, జ్వాలగలది,సెగగలది",,
శిఖాలము,"సిగ గలది,జుట్టు గలది",,
శిఖి,"అగ్రము కలది, శిఖ కలవాడు,తురాయి గలవాడు,గర్వము గలవాడు",,
శితము,"వాడియైనది, బక్కయైనది",,
శితి,"తెల్లనిది, నల్లనిది",,
శిథిలము,"సంధులు వదలినది, శ్లథము",,
శిలాజము,"ఱాతిలో బుట్టినది,గనిలో బుట్టినది",,
శిలావ్యాధి,"శిలాజంతువు, శైలేయము",,
శిలి,భూర్జపత్రవృక్ష్యము,,
శిలేయము,"శిలామయము,ఱాలతో నిండినది",,
శిల్పి,"శిల్పవిద్యా సంబంధమైనది, యంత్ర సంబంధమైనది",,
శిల్పికము,"యంత్ర సంబంధమైనది, చేతి పనికి సంబంధించినది",,
శివ(౦)కరము,"శుభప్రదమైనది, శుభమునిచ్చునది",,
శివతాతి,"శుభాంతమైనది, శుభంకరమైనది",,
శివము,"శుభకరము, శుభము నిచ్చునది, శుఖరము,సౌఖ్యము నిచ్చునది",,
శిశిరము,చల్లనిది,,
శిశ్విదానుడు,"ధర్మనిష్ఠ గలవాడు, పాపాత్ముడు,దుష్టుడు",,
శిష్టము,"మిగిలినది, అజ్ఞాపింపబడినది, శిక్షితము, మంచి మార్గామలవఱుపబడినది, మంచిగుణము గలది",,
శీకరి,"తుంపరలు గలది, జలబిందువులను గురియునది",,
శీఘ్రకారి,"త్వరగా జేయువాడు, త్వరగా బనిచేయువాడు, చుఱుకైనవాడు",,
శీఘ్రకోపి,"త్వరగా గోపము వచ్చువాడు, ముంగోపి",,
శీఘ్రబుద్ది,"సూక్ష్మబుద్ధిగలవాడు, చఱుకుదనము గలవాడు",,
శీఘ్రము,"వేగముగలది,వడిగలది",,
శీఘ్రలంఘనము,వడిగా బోవునది,,
శీఘ్రవేధి,"వడిగా గొట్టువాడు, మంచి విలుకాడు",,
శీఘ్రి,"వడిగలవాడు,చుఱుకైనవాడు, వేగముగా మాటలాడువాడు, ఉచ్చారణమున డొందఱ గలవాడు",,
శీఘ్రీయుడు,"వడిగలవాడు,వేగవంతము",,
శీఘ్రీయము,వడిగలది వేగవంతము,,
శీతకము,శీతము,,
శీతము,"చల్లనిది, శీతలము, ఉత్సాహము లేనిది, సోమరితనము గలది",,
శీతాలువు,శీత బాధ పడుచున్నవాడు,,
శీనము,"ఘనీభవించినది, పేరుకొన్నది",,
శీర్ణము,"వాడినది ఎండినది, శుష్కించినది, బ్రద్దలు చేయబడినది,చీల్పబడినది, సన్నగిల్లినది, చిన్నది,అల్పమైనది",,
శీర్షచ్ఛేద్యుడు,"తల నఱక దగినవాడు, శించ్ఛేదమున కర్హుడు",,
శీలవృత్తము,"మంచినడవడి గలది,సత్ప్రవర్తనము గలది",,
శీలితము,"అభ్యసింపబడినది,అలవఱచుకొనబడినది, ధరింపబడినది, దర్శింపబడినది,చూడబడినది, నేర్పుగలది, సంపన్నమైనది,కలిగియున్నది, ఆచరింపబడినది",,
శుక్తము,"పవిత్రమైనది, పుల్లనిది, కఠినమైనది, కలసి కొన్నది, నిర్జనము, జనశూన్యమైనది",,
శుక్రకరము,వీర్యవృద్ధి గలిగించునది,,
శుక్రలము/శుక్రిము,"శుక్రసంబంధి, శుక్రు దధిదేవతగాగలది, వీరవృద్ధి కరమైనది",,
శుక్రులుడు,వీరవృద్ధి గలవాడు,,
శుక్లకర్ముడు,"పరిశుద్ధమైనది నడవడి గలవాడు, సత్ప్రవర్తన గలవాడు",,
శుక్ల(క)ము,"తెల్లనిది, ధవళము",,
శుచి,పరిశుద్ధమైనది,,
శుచిప్రణి,పెదవులతో నీరుపీల్చువాదు,,
శుద్ధము,"శుభ్రమైనది,స్వచ్ఛమైనది, పవిత్రమైనది, తెల్లనిది, ప్రకాశమానమైనది, మచ్చలేనిది,కళంకము లేనిది, నిష్కపటమైనది,అమాయకమైనది, సత్యమైనది,నిజమైనది, యోగ్యమైనది, సరియైనది,తప్పులేనిది, విడుదల చేయబడినది, కేవలమైనది,తన్మాత్రము",,
శుద్ధవంశ్యుడు,పవిత్ర వంశమున బుట్టినవాడు,,
శుద్ధాత్ముడు,"పరిశుద్ధమైన మనస్సు గలవాడు,మంచి మనస్సు గలవాడు",,
శుద్ధికరము,శుద్ధిని జేయునది,,
శున్యము,"శూన్యము,ఏమియు లేనిది",,
శుభంభావుకము,"అలంకరింపబడినది,ప్రకాశమానము",,
శుభము,"ప్రకాశించునది, చక్కనిది,సుందరమైనది, శుభప్రదమైనది, శుభము గలిగించునది",,
శుభశంసి,రాబోవు శుభమును జెప్పెడివాడు,,
శుభాంగుడు,"అందగాడు,సుందరుడు",,
శుభాచారుడు,"మంచినడవడిగలవాడు, సత్ప్రవర్తన గలవాడు",,
శుభావహము,"శుభము గలిగించునది, మంచి గలిగించునది",,
శుభోదర్కము,"శుఖప్రదమైన యంతము గలది, శుభమైన యుత్తర కాలము గలది",,
శుభ్రము,"ప్రకాశించునది, తెల్లనిది",,
శుల్కగ్రాహకుడు,పన్ను వసూలు చేయువాడు,,
శుశ్రూశకుడు,"సేవించువాడు, కొలుచువాడు",,
శశ్రూషువు,"వినగోరువాడు,విననిచ్చగించువాడు, సేవింపగోరువాడు, కొలువనిచ్చగించువాడు, విధేయుడు",,
శుషిరము,"రంధ్రములు గలది, బెజ్జములు గలది",,
శుష్కము,ఎండినది,,
శుష్కాంగుడు,సన్నగిల్లిన యవయవములు గలవాడు,,
శూకవంతము,ముల్లుగలది,,
శూనము,"వాచినది, ఉబ్బినది, పెరిగినది, వృద్ధిపొందినది",,
శూన్యమనస్కుడు,"మనస్సు లేనివాడు, పరధ్యానముగా నుండు మనస్సు గలవాడు ఇట్లే శూన్యహృదయుడు మొ",,
శూన్యము,"వట్టిది,రిక్తము, ఏమియు లేనిది, పరధ్యానముగా నున్నది, ఉనికిలేనిది, లేనిది సత్తారహితము, పాడుపడినది, నిర్జనము",,
శూన్యముఖుడు,"వెలవెలబోయిన ముఖముగలవాడు,తిలకము లేని మొగమువాడు,ఇట్లే శూన్యవదనుడు",,
శూరుడు,"ధైర్యముగలవాడు, పరాక్రమము గలవాడు",,
శూలఘ్నము,శూలరోగము పోగొట్టునది,,
శూలి,"శూల మాయుథముగా గలవాడు, శూలరోగి",,
శూలికము,"బల్లెముగలది, శూలమున గాల్చబడినది",,
శూల్యము,"ఇనుపకాడతో గాల్చబడినది, కొఱత వేయదగినది",,
శృంఖలితము,"గొలుసు కట్టబడినది, సంకెల వేయబడినది",,
శృంగజము,కొమ్ముతో జేయబడినది,,
శృంగారి,"కాముకుడు,వలపుగలవాడు,విటుడు, మంచి వేషముగలవాడు, శృంగార సంబంధమైనది, సింధూరముతో రంగు వేయబడినది",,
శృంగి,"కొమ్ముగలది, శిఖరము గలది",,
శృతము,"వండబడినది, కాచబడినది",,
శృద్ధము,"శరీరమునుండి విడువబడినది, తడుపబడినది",,
శేఖరితము,శేఖరముగా జేసికొనబడినది,,
శేషము,"శేషించినది,మిగిలినది",,
శైక్యము,"శిక్యమున దీసికొని పోబడినది, కావడి మట్టునగొనిపోబడినది",,
శైక్యము,"శిఖగలది,శిఖరము గలది",,
శైలము,శిలామయము,,
శైలసారము,"పర్వతము వలె గదలనిది,పాషాణము వలె గట్టిది",,
శైలేయము,"పర్వత ముందున్నది,శైలభవము, ఱాతినుండి పుట్టినది, పర్వతమువలె నున్నది,శిలామయము",,
శైల్యము,శైలి,,
శైవము,శివసంబంధమైనది,,
శైశిరము,"శిశిరఋతు సంబంధి,శీతకాలము సంబంధమైనది",,
శోకలా(సు)కుడు,దుఃఖమునకు లోబడినవాడు,,
శోకవికలుడు,"శోకముచే గలతనొందినవాడు,ఇట్లే శోకావిష్టుడు",,
శోకి,శోకముగలవాడు,,
శోచకము,"శోకించునది,వగచునది,బాధపడునది",,
శోచనీయము,"శోకింపదగినది,వగవదగినది,దుఃఖపడదగినది",,
శోచ్యము,"శోకింపదగినది,వగవదగినది,దుష్టము, నీచమైనది,ఆధమము",,
శోఠుడు,"మూర్ఖుడు,తెలివి మాలినవాడు, నీచుడు, అల్పుడు, దుష్టుడు,చెడ్డవాడు, సోమరి",,
శోణము,"ఎఱ్ఱనిది,రక్తవర్ణము గలది",,
శోణితపుడు,రక్తము త్రావువాడు,,
శోణితము,ఎఱ్ఱనిది,,
శోథఘ్నము/శోథజిత్తు/ శోథహృత్తు,వాపును బోగొట్టునది,,
శోధకము,"పవిత్రము చేయునది, విరేచనకారి, దిద్దునది,సరిచేయునది",,
శోధనము,"పవిత్రము చేయునది, శుభ్రము చేయునది",,
శోధితము,"శుభ్రము చేయబడినది, పవిత్రము చేయబడినది,శుద్ధి చేయబడినది, వస్త్రగాలితముజేయబడినది, దిద్దబడినది, తీర్పబడినది, ప్రతిక్రియచేయబడినది, శాస్త్రిచేయబడినది",,
శోధ్యము,"పవిత్రముచేయదగినది,శుద్ధిచేయబడినది, శుభ్రపఱుపదగినది,శుద్ధిచేయదగినది, తీర్పదగినది, ప్రతిక్రియ చేయదగినది",,
శోభనము,"ప్రకాశించునది,సుందరమైనది, శుభప్రదమైనది, బాగుగా నలకరింపబడినది, సుగుణములు గలది",,
శోభి,శోభించునది,,
శోషణము,"ఎండించునది,శోషిల్ల జేయునది, వదలించునది, వాడించునది",,
శోషి,"వడలించునది,వాడజేయునది",,
శోషితము,"ఎండినది,శోషిల్లినది, వదలినది,వాడినది, తఱిగినది,క్షీణించినది",,
శాండీరుడు,"గర్వించినవాడు, ఉన్నతస్థితికి వచ్చినవాడు",,
శాండుడు,"మద్యమందాసక్తి గలవాడు, మద్యపానాదికముచే మత్తెక్కినవాడు, గర్వముచే నొడలెఱుంగనివాడు,దక్షుడు,నిపుణుడు",,
శాక్తము,పుల్లనిది,,
శాక్తికము,"శక్తిసంబంధి, ముత్తెము సంబంధమైనది",,
శాక్రము,"శుక్రసంబంధమైనది,రేతస్సంబంధి",,
శాద్రము,"శూద్ర సంబంధి, శూద్రజాతి సంబంధమైనది",,
శార్పము,"శూర్ప సంబంధి, శూర్పముతో గొలువబడినది",,
శావనము,"శునకసంబంధి, కుక్క సంబంధమైనది, కుక్కయొక్క స్వభావము గలది",,
శావస్తికము,"రేపటికి సంబంధించినది,మఱునాటిది, రేపటివరకు మండునది, ఒకదినము మాత్రముండునది, నశ్వరమైనది",,
శౌవాపదము,"శ్వాపద సంబంధి,అడవిజంతువులవలన గలిగినది, ఘాతుకము, క్రూరమైనది",,
శ్మశ్రులుడు,"గడ్డము, మీసముగలవాడు",,
శ్యానము,"పోయినది, పేరుకొనినది, గట్టిపడినది, జిగురైనది,బంకగా నున్నది, ఎండినది, ఇంకినది",,
శ్యామము,"నల్లనిది,నీల వర్ణము గలది, గోధూమ వర్ణము గలది, నీడ గలది, ఆకుపచ్చన నల్లన కలసినది",,
శ్యామలము,"నల్లనిది, నీల వర్ణము గలది",,
శ్యామాంగము,నల్లని యువయువములు గలది,,
శ్యామితము,నల్లగా జేయబడినది,,
శ్యావము,"నలుపు పసుపు కలిసిన వన్నె గలది, కోతి వన్నె గలది, కపిళము, కపిశవర్ణము",,
శ్యేతము,"తెల్లనిది, శ్వేతవర్ణము గలది",,
శేన్యము,తెల్లనిది,,
శ్రంధితము,"సడలింపబడినది, నిర్భంధమునుండి తొలగింపబడినది, గ్రథితము, కూర్పబడినది, గాయపఱుపబడినది, జయింపబడినది, సంతోషపఱుపబడినది",,
శ్రద్దధానుడు,"విశ్వాసము గలవాడు, నమ్మకమున్నవాడు",,
శ్రద్దము,"నమ్మినది, విశ్వసించినది",,
శ్రపితము,"ఉడికింపబడినది, వండబడినది",,
శ్రమణుడు,"కష్టపడువాడు, నీచకృత్యములవలన జీవించువాడు",,
శ్రవణసుభగము,చెవికి పైనది,,
శ్రాంతుడు,"అలసినవాడు,ఆయాసపడినవాడు",,
శ్రాణము,"పక్వమైనది,ఉడికినది, చెమ్మగలది,తడిది",,
శ్రాద్ధము,"విశ్వాసము గలది,నమ్మికగలది",,
శ్రావణము,"శ్రవణసంబంధి,చెవికి సంబంధించినది, శ్రవణ నక్షత్రమునబుట్టినది",,
శ్రావణికము,శ్రావణమాసమునకు సంబంధించినది,,
శ్రావికము,"వినిపింపబడినది,తెలుపబడినది",,
శ్రావ్యము,"వినదగినది, వినబడునట్టిది, విన నింపైనది",,
శ్రితము,"ఆశ్రయించినది,దరిచేరినది,పొందినది",,
శ్రియంమన్యుడు,"తన్ను లక్షీసంపర్కునిగాదలచుకోనువాడు, తాను గొప్పవాడనుకొనెడివాడు, గర్వి,గర్వము గలవాడు",,
శ్రీకరము,ఐశ్వర్యమును గలిగించునది,,
శ్రీమంతము,"మంగళా కారము, సంపదగలది, శుభప్రదము",,
శీమంతుడు,"ధనవంతుడు,కలవాడు, సుఖవంతుడు,అభివృద్ది నొందువాడు, సుందరుడు,చక్కనివాడు,కీర్తిగలవాడు, ప్రసిద్ధి కెక్కినవాడు, పేరుపొందినవాడు",,
శ్రీలుడు,"ధనవంతుడు, అదృష్టవంతుడు, సౌందర్యవంతుడు, చక్కనివాడు, కీర్తిగలవాడు,ప్రసిద్ధుడు",,
శ్రుతకీర్తి,"కీర్తిగలవాడు,ప్రసిద్ధుడు",,
శ్రుతధరుడు,"వినినది జ్ఞప్తి యందుంచువాడు,ధారణాశక్తి గలవాడు",,
శ్రుతము,"వినబడినది, తెలుపబడినది, వినిపింపబడినది, నేర్వబడినది,తెలిసికొనబడినది",,
శ్రుతవంతుడు,"వేదము లందు సంపూర్ణజ్ఞానముగలవాడు, జ్ఞానము గలవాడు,విద్యావంతుడు",,
శ్రుతికటువు,వినుటకు బరుషమైనది,,
శ్రుతిప్రసాదనము,"శ్రావ్య మైనది,చెవి కింపైనది",,
శ్రుతిమూలకము,వేద ప్రమాణము గలది,,
శ్రుతివర్జితుడు,"చెవిటివాడు,బధిరుడు, వేదజ్ఞాన శూన్యుడు,వేద మెఱుగనివాడు",,
శ్రుతివిప్రతిపన్నము,"వేద ప్రామాణ్యమంగీకరింపనిది, వేద విరుద్ధమైనది",,
శ్రుతిసుఖము,"శ్రావ్యమైనది,చెవికింపైనది,ఇట్లే శ్రుతిమనోహరము మొ""",,
శ్రేణి(ణీ)బంధము,"పంక్తిగా నేర్పబడినది,వరుసగా నున్నది",,
శ్రేయ(స్సు)ము,"వారము,,మంచిది, శ్రేష్ఠము,ఉత్తమము, మిక్కిలి సుఖముగలది, ప్రియతరము,మిక్కిలి నిష్టమైనది",,
శ్రేయస్కరము,"సుఖము గలిగించునది,శ్రేయస్సు గలిగించునది, శుభప్రదము, శుభము గలిగించునది",,
శ్రేయోర్థి,"క్షేమాభిలాషి,మంచికోరువాడు, సుఖము కోరువాడు",,
శ్రేష్ఠము,"అత్యంత ప్రశస్తము,ఉత్తమము",,
శ్రోతవ్యము,"వినదగినది,విననింపైనది",,
శ్రోతపేయము,"చెవితో ద్రాగదగినది,ఆసక్తితో వినదగినది",,
శ్రోతసుఖము,"శ్రావ్యమైనది,చెవికింపైనది",,
శ్రోతియుడు,వేదములు బాగుగా జదివిన వాడు,,
శ్రౌతము,"శ్రోత్రేంద్రియమునకు సంబంధించినది,చెవి సంబంధమైనది, వేదసంబంధమైనది,వేదవిహితమైనది",,
శ్లక్ష్ణకము,"నున్ననిది,మెత్తనిది, సుందరము,ఇంపైనది",,
శ్లక్ష్ణము,"మెత్తనిది,మృదువైనది,పరుషము కానిది, నున్ననిది, సన్ననిది,సూక్ష్మమైనది, సుందరమైనది, మనోహరమైనది, నిష్కపటమైనది,మాయలేనిది",,
శ్లథము,"కట్టబడినది,వదులైనది,పట్టువిడినది,శిథిలము,పట్టులేనిది, వీడినది,ముడి విడినది",,
శ్లాఘనీయము/శ్లాఘ్యము,"కొనియాడదగినది,స్తుతింపదగినది, గౌరవింపబడినది, ఆదరింపబడినది ",,
శ్లాఘితము,"కొనియాడబడినది,పొగడబడినది",,
శ్లిష్టము,"కౌగిలింపబడినది,అంటుకొనినది,సంసృష్టము,ఆనుకొనిది, శ్లేష గలది",,
శ్లీపది,బోదకాలు గలవాడు,,
శ్లీలము,"శ్రాలము, అభివృద్ధి గలది, సంపదగలది, శోభ గలది, మర్యాద గలది, సభ్యమైనది",,
శ్లేషభిత్తికము,శ్లేశామాదారముగా గలది,,
శ్లేష్మణము,శ్లేష్మరోగము గలది,,
శ్లేష్మలము,శ్లేష్మముగలది,,
శ్లేష్మికము,శ్లేష్మముగలది/శ్లేష్మ వృద్ధి కలిగించునది,,
శ్వశ్ర్శేయసము,"సుభ ప్రదమైనది,మంగళకరము",,
శ్వసితము,"ఊపిరి విడిచినది,ఊపిరి విడుచుచున్నది",,
శ్వస్తకము,"రేపటిది,భవిష్యత్కాల సంబంధమైనది",,
శ్వాదంతుడు,"కుక్క దంతముల వంటి దంతములు గలవాడు, కుక్క పంటి వాడు",,
శ్వాపదము,"ఘాతుకమైనది,క్రూరము",,
శ్వితము,తెల్లనిది,,
శ్విత్యము,తెల్లనిది ఇట్లే శ్విత్న్యము,,
శ్విత్రి,శ్విత్రము గలవాడు,,
శ్వేతగరుత్తు,తెల్లని ఱెక్కలు గలది,,
శ్వేతము,తెల్లనిది,,
శ్వేతరక్తము,"పాటలవర్ణము గలది, కొంచె మెఱ్ఱనిది, గులాబీరంగుగలది",,
శ్వోభూతము,"మఱునాడగునది,పరదినమునందగినది",,
శ్వోవసీయము,"శుభప్రదము,సుఖకరము",,
షట్కము,ఆఱు విధములైనది,,
షట్కర్ణము,అనేక శ్రోతలకు జెప్పబడినది,,
షట్పదజ్యము,తుమ్మెదలు నారిగాగలది,,
షడరత్ని,అఱు చిటికెనచాచిన మూరల ప్రయాణము గలది,,
షడ్గవీయము,ఆఱెద్దులచే లాగబడునది,,
షడ్గుణము,"ఆఱువిధములైన,ఆఱు గుణములుగల",,
షడ్భుజము,ఆఱు భుజములు కలది,,
షడ్వింశము,ఇరువది యాఱవది,,
షష్టికము,అఱువదితో గొనబడినది,,
షష్టిక్యము,షష్టికలు పండునది (పొలము),,
షహసానువు,క్షమాపూర్ణము,,
షాట్కౌశికము,ఆఱు ఆవరణములచే నాచ్ఛాదింపబడినది,,
షాట్కౌరుషికము,ఆఱు తరములకు సంబంధించినది,,
షాష్ఠము,ఆఱవది,,
షోడత్తు,ఆఱుపండ్లు గలది,,
షోడశము,పదునాఱవది,,
షోడశ(శి)కము,పదునాఱు విధములైనది,,
షోడశాంగము,16 భాగములు గలది,,
షోడశాంగులకము,పదునాఱంగుళముల వెడల్పు గలది,,
సంకటము,"ఇఱుకైనది,అల్పావకాశము గలది",,
సంకలితము,"ప్రోగు చేయబడినది,కలుపబడినది,బలత్కారముగా బట్టుకొనబడినది,చేర్పబడినది",,
సంకల్పరూపము,"మనోనిశ్చయ రూపమైనది, ఇచ్ఛానుకూలమైనది",,
సంకల్పితము,"ఉద్దేశింపబడినది, నిశ్చయింపబడినది, తలపబడినది,భావింపబడినది",,
సంకసుకము,"చంచలము,స్థైర్యము లేనిది, నిశ్చితము కానిది, సందేహ స్పదమైనది, దుష్టము చెడ్డది,దుర్భలము, బలములేనిది, సంకీర్ణము",,
సంకారి,"సంకరమైనది,కలిసిపోయినది,భిన్నజాతి స్త్రీ పురుషుల వలన జన్మించినాడు",,
సంకాశము,"సమానమైనది,పోలినది",,
సంకీర్ణజాతి,"భిన్నవర్ణముల వారైనా తల్లిదండ్రులకుబుట్టినవాడు, భిన్న జాతి జంతువులకు బుట్టినది",,
సంకీర్ణము,"బహుజన సమ్మర్దమున నిఱుకైనదివివిధము, నానావిధమైనది, వ్యాపించినది,వ్యాప్తము",,
సంకుచితము,"సంక్షేపము చేయబడినది,తగ్గింపబడినది, ముడిగినది,ముడుచుకొనినది, మూసికొనినది, వికసింపనిది,నిద్రించినది,కప్పునది",,
సంకులము,"కలవారపడినది,తొట్రుపడినది, నిండినది,పూర్ణము",,
సంకేతితము,"సంకేతమున గలిగినది, వాచ్యము, పిలువబడినది, అంగీకరింపబడినది",,
సంక్రాంతము,"సంక్రమించునది,సంప్రాప్తమైనది",,
సంక్లిష్టము,"గాయపడినది,నలగగొట్టబడినది,మాసినది, కాంతిచెడినది",,
సంక్షిప్తము,"రాశి చేయబడినది,ప్రోగు చేయబడినది, సంకోచింపజేయబడినది, ముడుచుకొనినది, సంగ్రహపఱుపబడినది, తగ్గింపబడినది",,
సంక్షీణము,మిక్కిలి క్షీణించినది,,
సంఖ్యాతము,"ఎంచబడినది,లెక్కింపబడినది, మిగుల బ్రసిద్ధి కెక్కినది, గుణింపబడినది",,
సంఖ్యాతిగము,లెక్కకు మించినది,,
సంఖ్యావంతుడు,"సంఖ్యగలవాడు,ఆత్మవిషయక జ్ఞానము గలవాడు",,
సంఖ్యావాచనము,సంఖ్యను దెలుపునది,,
సంఖ్యేయము,"లెక్కింపదగినది,గణనీయము",,
సంగడము,"సాటి,సమానము",,
సంగడి,సంబంధిజము,,
సంగడికాడు,"చెలికాడు,మిత్రుడు",,
సంగతము,"కలసినది,కూడినది",,
