adjective,meaning,Primary sense-type,Secondary sense-type
అతటము,"ఒడ్డులేనిది,ఒడుదొడుకైనది,ఒరకము",,
అతనువు,"శరీరములేనివాడు,క్రుశింపనివాడు,చిక్కనివాడు,అహీనుడు,అధికుడు",,
అతప్తతనువు,"తప్తముద్రచే చిహ్నితము కానిదేహముకలవాడు,వ్రతాదులచేదేహమును సృక్కింపనివాడు",,
అతప్తము,"కాల్పబడనది,తపింపజేయబడనిది",,
అతర్కితము,"ఊహింపబడనిది,ఆకస్మికము",,
అతర్కితోపనము,ఆకస్మికముగాబ్రాప్తించినది,,
అతర్క్యము,"ఊహింపశక్యముకానిది,తలంపశక్యముకానిది",,
అతలకుతలము,"తారుమారైనది,వ్యత్యస్తము,క్షోభపడినది",,
అతలస్పర్శము,"మిక్కిలి లోతైనది,అతిగంభీరము",,
అతలస్పృక్కు,అతలస్పర్శము,,
అతికథము,"అధికముగా వర్ణింపబడినది,నమ్మదగనిది,కథనుండిదాటిపోయినది,నశించిపోయినది",,
అతికర్షనము,"మిక్కిలిరాపిడికలిగించునది,మిక్కిలి ఒత్తిడి కలిగించునది",,
అతికాయుడు,"అసాధారణమైన శరీరము కలవాడు,పెద్దదేహముకలవాడు",,
అతికృచ్చ్రము,మిగుల కష్టమైనది,,
అతికృతము,మితిమీరి చేయబడినది,,
అతిక్రమణీయము,అతిక్రమింపదగినది,,
అతిక్రమిత,అతిక్రమించువాడు,,
అతిక్రమ్యమాణము,అతిక్రమింపబడుచున్నది,,
అతిక్రాంతము,"అతిక్రమించినది,అతిక్రమింపబడినది",,
అతిక్రామకుడు/అతిక్రామి,అతిక్రమించువాడు,,
అతిక్రూరము,మిక్కిలిక్రూరము,,
అతిక్షిప్తము,దూరముగాచిమ్మబడినది,,
అతిగండము,"పెద్దచెంపగలది,గండమునతిక్రమించినది",,
అతిగంధము,ఎక్కువవాసన గలది,,
అతిగము,"మీరిపోవునది,అతిక్రమించునది",,
అతిగవుడు,"గోవునతిక్రమించినవాడు,మూర్ఖుడు,వాక్కుల గోచరుడు,పరమాత్మ",,
అతిగహనము,"మిక్కిలి లోతుగలది,చొరరానిది,దుర్భేదము",,
అతిగ్రహము,"గ్రహింపశక్యముకానిది,దుర్భోదము,విస్తారముగాగ్రహించునది,విషయములనుగ్రహించునది",,
అతిచారి,అతిక్రమించి చరించువాడు,,
అతిజాగరము,ఎల్లప్పుడును మేలుకొని యుండునది,,
అతిజాతుడు,తండ్రికంటె నెక్కుడైనవాడు,,
అతితారము,పెద్దధ్వనిగలది,,
అతితీక్ష్ణము/అతితీవ్రము,"మిక్కిలి పదనుగలది,వాడియైనది,మిక్కిలి కారముగలది",,
అతిధిదేవుడు,అతిధిని దేవునివలె భావించువాడు,,
అతినిద్రుడు,"మిక్కిలి నిద్రపోవువాడు,నిద్రలేనివాడు",,
అతిపథము,మార్గమునతిక్రమించినది,,
అతిపన్నము,"అతిక్రాంతము,కదచిపోయినది",,
అతిపరోక్షము,"చూపునకు మిక్కిలిదవ్వయినది,కనుగొనరానిది",,
అతిపాతి,అతిక్రమించునది,,
అతిపాత్యము,"అతిక్రమింపదగినది,కాలాంతరమునకు ఆపదగినది",,
అతిప్రవృద్ధుడు,"మిగులబెరిగినవాడు,గర్వశీలుడు,పొగరుబోతు",,
అతిభూమి,భూమిని అతిక్రమించినవాడు,,
అతిమర్త్యము,"మనుష్యశక్తికిమించినది,దివ్యమైనది",,
అతిమర్యాదము,హద్దుమీరినది,,
అతిమాంసము,ఎక్కువమాంసముగలది,,
అతిమాత్రము,"కొలదికి మించినది,అధికము",,
అతిమానము,కొలదికి మీరినది,,
అతిమాయుడు,"మాయను దాటినవాడు,ముక్తుడు,మిక్కిలి మాయకలవాడు",,
అతిమారుతము,మిక్కిలిగాలిగలది,,
అతిముక్తము,"విషయసంగమునుండిబొత్తిగావీడినది,పూర్తిగా మోక్షమునుపొందినది",,
అతిమృత్యువు,మృత్యువును జయించినవాడు,,
అతిరక్తము,"మిక్కిలిఎర్రనిది,మిక్కిలిప్రేమగలది",,
అతిరాజుడు,రాజునతిక్రమించినవాడు,,
